Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
400	0.	25.	55.	6.1465e-006
401	0.	25.	60.	6.5131e-005
402	0.	25.	65.	-1.0763e-005
403	0.	25.	70.	1.6146e-003
404	0.	25.	75.	-4.4376e-003
405	0.	25.	80.	2.5545e-002
406	0.	25.	85.	-0.12689
407	0.	25.	90.	0.17595
408	0.	25.	95.	-2.5469
409	0.	25.	100.	10.968
410	0.	0.	0.	-7.991e-003
411	0.	0.	5.	3.8576e-003
412	0.	0.	10.	-2.2415e-002
413	0.	0.	15.	4.0474e-003
414	0.	0.	20.	-1.4227e-003
415	0.	0.	25.	2.5482e-004
416	0.	0.	30.	-1.1105e-004
417	0.	0.	35.	1.4814e-005
418	0.	0.	40.	-5.0611e-006
419	0.	0.	45.	2.1381e-006
420	0.	0.	50.	1.3226e-006
421	0.	0.	55.	-6.2491e-006
422	0.	0.	60.	-6.4941e-005
423	0.	0.	65.	1.104e-005
424	0.	0.	70.	-1.6145e-003
425	0.	0.	75.	4.4378e-003
426	0.	0.	80.	-2.5545e-002
427	0.	0.	85.	0.12689
428	0.	0.	90.	-0.17595
429	0.	0.	95.	2.5469
430	0.	0.	100.	-10.968
431	5.	0.	5.	-0.14053
432	5.	0.	10.	1.1143e-003
433	5.	0.	15.	8.0423e-003
434	5.	0.	20.	3.9097e-003
435	5.	0.	25.	1.1302e-003
436	5.	0.	30.	2.6633e-004
437	5.	0.	35.	2.3663e-005
438	5.	0.	40.	-1.1144e-005
439	5.	0.	45.	-1.5249e-005
440	5.	0.	50.	-1.6597e-005
441	5.	0.	55.	8.9576e-006
442	5.	0.	60.	1.9099e-004
443	5.	0.	65.	9.4467e-004
444	5.	0.	70.	3.3878e-003
445	5.	0.	75.	9.3646e-003
446	5.	0.	80.	1.6345e-002
447	5.	0.	85.	1.2746e-002
448	5.	0.	90.	-0.11136
449	5.	0.	95.	-0.909
450	10.	0.	5.	-0.193
451	10.	0.	10.	-1.0333e-002
452	10.	0.	15.	1.2267e-002
453	10.	0.	20.	6.4273e-003
454	10.	0.	25.	2.2572e-003
455	10.	0.	30.	5.2888e-004
456	10.	0.	35.	8.3843e-005
457	10.	0.	40.	-1.6543e-005
458	10.	0.	45.	-2.4493e-005
459	10.	0.	50.	-2.8311e-005
460	10.	0.	55.	6.0561e-005
461	10.	0.	60.	3.8862e-004
462	10.	0.	65.	2.1727e-003
463	10.	0.	70.	6.1143e-003
464	10.	0.	75.	1.8413e-002
465	10.	0.	80.	2.3448e-002
466	10.	0.	85.	-8.0359e-003
467	10.	0.	90.	-0.38146
468	10.	0.	95.	-1.6622
469	15.	0.	5.	-0.14053
470	15.	0.	10.	1.1142e-003
471	15.	0.	15.	8.0421e-003
472	15.	0.	20.	3.9096e-003
473	15.	0.	25.	1.1303e-003
474	15.	0.	30.	2.6637e-004
475	15.	0.	35.	2.3455e-005
476	15.	0.	40.	-1.1115e-005
477	15.	0.	45.	-1.5187e-005
478	15.	0.	50.	-1.6554e-005
479	15.	0.	55.	8.9565e-006
480	15.	0.	60.	1.9069e-004
481	15.	0.	65.	9.4469e-004
482	15.	0.	70.	3.3877e-003
483	15.	0.	75.	9.3646e-003
484	15.	0.	80.	1.6345e-002
485	15.	0.	85.	1.2746e-002
